"","GSM3017301","GSM3017302","GSM3017303","GSM3017304","GSM3017305","GSM3017306","GSM3017307","GSM3017308","GSM3017309","GSM3017310","GSM3017311","GSM3017312","GSM3017313","GSM3017314","GSM3017315","GSM3017316","GSM3017317","GSM3017318","GSM3017319","GSM3017320","GSM3017321","GSM3017322","GSM3017323","GSM3017324","GSM3017325","GSM3017326","GSM3017327","GSM3017328","GSM3017329","GSM3017330","GSM3017331","GSM3017332","GSM3017333","GSM3017334","GSM3017335","GSM3017336","GSM3017337","GSM3017338","GSM3017339","GSM3017340","GSM3017341","GSM3017342","GSM3017343","GSM3017344","GSM3017345","GSM3017346","GSM3017347","GSM3017348","GSM3017349","GSM3017350","GSM3017351","GSM3017352","GSM3017353","GSM3017354","GSM3017355","GSM3017356","GSM3017357","GSM3017358","GSM3017359","GSM3017360","GSM3017361","GSM3017362","GSM3017363","GSM3017364","GSM3017365","GSM3017366","GSM3017367","GSM3017368","GSM3017369","GSM3017370","GSM3017371","GSM3017372","GSM3017373","GSM3017374","GSM3017375","GSM3017376","GSM3017377","GSM3017378","GSM3017379","GSM3017380","GSM3017381","GSM3017382","GSM3017383","GSM3017384","GSM3017385","GSM3017386","GSM3017387","GSM3017388","GSM3017389","GSM3017390","GSM3017391","GSM3017392","GSM3017393","GSM3017394","GSM3017395","GSM3017396","GSM3017397","GSM3017398","GSM3017399","GSM3017400","GSM3017401","GSM3017402","GSM3017403","GSM3017404","GSM3017405","GSM3017406","GSM3017407","GSM3017408","GSM3017409","GSM3017410"
"cg00010672",0.472689404778558,0.568105299907964,0.463789841228607,0.576952931386735,0.498188058136149,0.772542176674791,0.431984586104105,0.56276826529812,0.600455052623792,0.646643588298985,0.360204202489322,0.780031649492278,0.817028241209936,0.472227735184788,0.592852924099434,0.663773513500105,0.676501876854884,0.700470675707939,0.83637622924155,0.873035432665584,0.840310873931687,0.593100261430421,0.505557920268073,0.653373040204587,0.652969680079156,0.555892406320362,0.895769495230332,0.670306684264518,0.797180360818551,0.287136507023823,0.566157457732868,0.696357515615407,0.612527390923927,0.729289398355713,0.416823453301512,0.849564038528939,0.672122908811994,0.630356155032845,0.568630703313334,0.678189748379246,0.736417127843569,0.452413330214626,0.427077903562253,0.731926711204791,0.695263712319371,0.507360682264081,0.65297859473768,0.624199928841178,0.761374720330979,0.753110863598794,0.590263283229539,0.690622919656895,0.75000736678873,0.314636546335757,0.736553663784897,0.813093170426249,0.347540030379633,0.682104711979701,0.528332133859187,0.443036538391047,0.888300584075629,0.474005855881646,0.925349287133317,0.770368677645492,0.480754544668544,0.819186263315855,0.57827601289343,0.459962004746417,0.772565024859959,0.729401272191176,0.927340894561926,0.409031121946895,0.333021408747575,0.400672355264437,0.511880301996487,0.323045278931124,0.472596761543447,0.674028202479789,0.879969262883947,0.912049113053788,0.416924440728393,0.41006226204125,0.548289089156353,0.888031298128798,0.886762680780405,0.669590299801895,0.381335549251302,0.637445235342736,0.461020609704636,0.784276840361566,0.571385022009821,0.538519982212952,0.462759058292168,0.767090151711926,0.389711311285526,0.893603059653108,0.391767599588956,0.777358889940908,0.79010898922501,0.680167947068879,0.692911967915277,0.496408284249787,0.658882779208246,0.605532049071773,0.57269618717088,0.67555518995512,0.508165051974107,0.642973293016604,0.740705713450029,0.789667034188501
"cg00017826",0.574840909148767,0.627925279412199,0.622202045004215,0.703797890315429,0.596946361952058,0.835973513589509,0.729472607844778,0.744512512649468,0.710537317660417,0.72395691076067,0.709335757420673,0.761771457432192,0.850984459149231,0.603978141513256,0.642811337791891,0.687817212307667,0.752626362701317,0.754550950447408,0.800503329564135,0.83761962578262,0.836563786482727,0.691440652969924,0.571344768844058,0.7388427902054,0.694628991709154,0.614671617265376,0.890658002614667,0.7049223178872,0.791987905767612,0.518591374439639,0.7581132994447,0.738824871556981,0.690036087165799,0.731245425965914,0.610996200150452,0.877237746517006,0.886407533152651,0.762311746964959,0.7291012330942,0.751962717739626,0.734202516876668,0.59746970899514,0.715293015577342,0.802839618763762,0.763555464013209,0.678249211384305,0.659983173625588,0.620444826223337,0.776065861987111,0.807387851073764,0.682053554547971,0.690507970876396,0.776175700887385,0.630921590253233,0.75986469691843,0.81080518778683,0.495497383570915,0.676640517435083,0.648993483370967,0.557020354211355,0.900414668194073,0.603291227566182,0.908990464151103,0.752722216188221,0.715537905657946,0.783475278747381,0.740693031064832,0.554308257944971,0.831303839423894,0.773181012752942,0.925342555284294,0.624690134771558,0.590707753901709,0.621693507665571,0.671811305609968,0.598396761950444,0.591210116885654,0.661940711017976,0.917287537963776,0.952210381227351,0.583574160131625,0.555910144275388,0.676624785788223,0.946558953686613,0.917515609861103,0.703879638641513,0.642788767640732,0.652953840652801,0.626300137636812,0.833740407541118,0.666951920605966,0.676760586147388,0.586162018030543,0.746894126812838,0.575655641966788,0.841194175244833,0.681180168483157,0.804248122306942,0.844838636515512,0.787028792525548,0.705688937430511,0.639971704179979,0.622914660555726,0.670266962292572,0.718176796378584,0.714379575588876,0.742951635529564,0.639276584409474,0.753080158108797,0.840260383089983
"cg00026346",0.931920422685654,0.932726699899803,0.952807153374482,0.959504150843884,0.950785639751906,0.903283238916816,0.939460170316625,0.921304659964866,0.939502981232796,0.925926963125442,0.965892908232317,0.915770543609335,0.932120053533947,0.930300234194834,0.941421427872706,0.93203847427866,0.934643023214642,0.919967139773039,0.909597166625504,0.913227319266142,0.910527570765791,0.927895915650987,0.939012334943886,0.952967641130273,0.931811021258854,0.939134159510802,0.928152824544536,0.944229093749832,0.934286842063812,0.935798203205763,0.950967031829268,0.925970158973127,0.939152933655525,0.948296774424325,0.916884480509659,0.917091084749513,0.804865614792185,0.936590118313645,0.903594250738842,0.928838381940702,0.917240390760342,0.95474868666256,0.95346046780953,0.906105099308094,0.94289192434356,0.936934775436837,0.941446659458407,0.894669807198954,0.888249090384665,0.949006202534203,0.939593732408064,0.946205873335345,0.925078073073258,0.93859217951559,0.945179946782378,0.944081710144602,0.944338075850662,0.912528065317074,0.934665661337517,0.915087257201968,0.92662366302039,0.930275242473097,0.953041262689202,0.926203274435574,0.921968772949643,0.914084870446882,0.938246746942363,0.916761892121574,0.948219810190231,0.922142367190829,0.90130804849127,0.937852548370382,0.905843698618433,0.944049571883424,0.940633103879533,0.912135572406316,0.906043918916448,0.948234589000912,0.909978619224969,0.942406990925708,0.91546982743466,0.945809800524666,0.934167718175343,0.940677304270841,0.953588612029913,0.938063746019539,0.946368757161825,0.954916827617388,0.939767063910252,0.921454075614665,0.93722690141591,0.937988626378295,0.903958038103226,0.935874957798835,0.919198615650866,0.918683659566964,0.923248453191273,0.938713873938498,0.939508536915957,0.939218509596052,0.922428480185258,0.927760081001821,0.903411653983716,0.926911214285709,0.938201567066874,0.943530718153671,0.919156082680662,0.941687181526487,0.912116463117547,0.928450221065659
"cg00034336",0.374120661855106,0.38096340424748,0.457824547313312,0.350167973325553,0.385328358486822,0.209502392361649,0.31455167649019,0.380991902063465,0.316384522269177,0.3526361812228,0.359954404580394,0.315165454525052,0.246792944246928,0.415095538209591,0.345245321370656,0.331310938380295,0.304180590541512,0.317769494434045,0.270272101455101,0.304970668294179,0.213589124496224,0.378188044061707,0.346590348400173,0.338032658385119,0.316042146813496,0.357368103250141,0.15244914044311,0.330324554109355,0.27799083490598,0.442788594614122,0.332755639123214,0.249847997228629,0.346850202529788,0.263790915497583,0.329289756942799,0.255977019655691,0.298091816759815,0.297065786517747,0.333200413593547,0.30658026636679,0.368330320678698,0.411996591684508,0.309020804694973,0.26591504638951,0.319071212147997,0.375773145240848,0.331549790426689,0.403626554967955,0.29869045421935,0.212245569183532,0.343087851132321,0.289375547288832,0.269970183641107,0.374862817924817,0.276832235090812,0.235761343298488,0.448711913837549,0.334345874068968,0.385589827215465,0.450634195720799,0.175171689287992,0.340361445977584,0.169303367117384,0.338656713505298,0.3352779183455,0.290507966642535,0.341531262720953,0.379850614480431,0.207733873264842,0.266290251238127,0.169046902151285,0.365372221606558,0.421307537838806,0.374594090491364,0.345120222618139,0.379522533972419,0.387916203964841,0.380904745680332,0.148367171804666,0.119804536152742,0.401554721085536,0.440668329492275,0.365197059913236,0.0783722752527918,0.202135489788854,0.342251374831359,0.398252326556848,0.398188299219936,0.361302927521141,0.249176201437174,0.342037172058763,0.387295702809828,0.38032073514973,0.298809423913446,0.394111363448678,0.212547734143379,0.373792926244476,0.290602759430414,0.232465064823509,0.28024640482906,0.332738735259543,0.372917985056338,0.344845017599402,0.314697096681452,0.352943058524815,0.34209327028268,0.318017170599837,0.364903278885637,0.27849950769003,0.26537861763475
"cg00092400",0.0813254952673971,0.106147382538987,0.0751670108424216,0.0543312128492922,0.0767748903419621,0.0941138548639668,0.102381967816363,0.0570514071441021,0.18482029676625,0.133463765778182,0.122919999494738,0.0828274539056344,0.185584029905735,0.136848011285773,0.242966689963071,0.0894269532240313,0.0641239574809415,0.074650749341398,0.120275681812778,0.34529727028357,0.177834361726434,0.191875726101247,0.0727949189011197,0.0742878210950308,0.0895094150849614,0.0709112056355394,0.222712690615865,0.153745149886064,0.218736134363181,0.0893007797181096,0.0891080272224706,0.2469039359815,0.119876089191099,0.154820240333558,0.0937472331828609,0.0744548072601004,0.0493781333299718,0.108392210465989,0.145271884787023,0.201692048399024,0.118159495801773,0.160411032346563,0.0841260288024445,0.138517950571942,0.134998649364083,0.0777988116085533,0.177171931404059,0.146686451522798,0.0942683599913107,0.150098346042073,0.11852919127804,0.105223890000118,0.157351293795376,0.0698734050356838,0.305606417233968,0.0560085644217443,0.134623665323152,0.0999547883378224,0.11982015632089,0.0703516603679336,0.119496097481649,0.0798820097662556,0.225841132542751,0.100712575988524,0.0688371982530018,0.0380593464454177,0.227906318162626,0.137638075123477,0.240243671203866,0.0585741291233646,0.27976762881669,0.120403299498619,0.0735869712050096,0.0941858374176132,0.0387993671552234,0.0491972927481216,0.0428793610418616,0.343883034211935,0.0881442635500515,0.113899249950941,0.0703839619020917,0.0725681104616491,0.0783686523877605,0.0993323757222256,0.12849172143778,0.0959406397240959,0.088459999576766,0.127234339566113,0.11780613895436,0.0860370990485946,0.194890949481643,0.0867041857660953,0.132929941680329,0.315317362674411,0.0545540554003291,0.282784411087064,0.10884607063247,0.157312616949939,0.0724874778950741,0.118584034238171,0.0812101228170714,0.13195909171661,0.131856398828628,0.168174099378173,0.223032337344852,0.0895345104851007,0.0903638273740169,0.0697081234834293,0.067578562305968,0.310015885740642
"cg00168694",0.831564883048884,0.859519282237986,0.931059809594321,0.898934946297328,0.866768646188082,0.70273743281603,0.932710944209114,0.74986027437145,0.858892212150566,0.78310542218017,0.983396018565204,0.822637595203981,0.729012651662517,0.905076759539076,0.884502899287432,0.723541075574939,0.767779976010957,0.584340713463019,0.676426566059812,0.965136430175598,0.63509288169204,0.890912267505928,0.926452649298375,0.788713751384099,0.833639612547133,0.839413230166256,0.656749294166097,0.850758862584813,0.813361181453718,0.98795307910584,0.811543881126551,0.834847858567417,0.844918134794291,0.77572407960394,0.835416145472855,0.647836524768369,0.80847163031265,0.808534043259913,0.939642015495933,0.8915928773469,0.88216364024851,0.959276991273633,0.934826624318351,0.731701785791318,0.874131978715218,0.874977905362936,0.948895540780629,0.936165264038591,0.699111806632177,0.722213690341094,0.831700582606724,0.740375000477183,0.753578193319859,0.854862630110253,0.942452457753898,0.472413186347148,0.965939133553144,0.863596587116087,0.881880102503452,0.898960608785531,0.337557942807465,0.8979030740741,0.433997105506852,0.873959517401433,0.805725095774979,0.525657017845877,0.896189678922219,0.923081368941204,0.782258180722377,0.619445810701229,0.623896475950131,0.956990681279898,0.911211890170172,0.936345768993749,0.867856954721132,0.949165751823053,0.828923446269068,0.968250518777645,0.437212799567794,0.278442365708916,0.901054412538683,0.920609775974259,0.841498658655734,0.296282915913631,0.432051231999894,0.780432838168533,0.944984650499811,0.833905557503846,0.957866789491394,0.779361353905359,0.970290248196708,0.822886997065508,0.957341015239195,0.880373551240578,0.903911907548394,0.655140741625763,0.923483765497492,0.624571280490919,0.689772964654825,0.842897225134863,0.835882389192193,0.89892268118391,0.861833673677211,0.947688947379545,0.918927665770911,0.871785549803771,0.820148560807074,0.816592052914682,0.699587345235925,0.858892528913851
"cg00219921",0.837858023378737,0.81225858688809,0.867116237273774,0.784808945889851,0.873037176636843,0.939794028472658,0.890410691654705,0.853881984341744,0.877464203352974,0.829934971155937,0.853377969012183,0.912341347613351,0.90782966116584,0.902737629743969,0.912233218666277,0.835375638863505,0.945044578926883,0.89539714007657,0.976006677554385,0.908312878224832,0.961282058159543,0.843865007100233,0.910792809983058,0.897429648881269,0.895606645344373,0.908869462480264,0.946802241373642,0.884759732543488,0.956110520995642,0.791837808212389,0.907788639658626,0.888799669409056,0.872231225069227,0.890932180098227,0.823262260507953,0.961696823965,0.916724090067255,0.93536584086133,0.881987660069305,0.890690847705102,0.939309191729928,0.800516581316215,0.7913622788382,0.870692671165702,0.898186590093478,0.887867348565676,0.907715479238757,0.843365694145657,0.900080556745487,0.878040245170271,0.88918415149005,0.896848633940168,0.975244603618261,0.778559894416635,0.911054182975788,0.941337983996117,0.734959067116726,0.897854726365553,0.87907426143584,0.850966163037142,0.963497905500762,0.905616864591343,0.972614946392466,0.899251650137132,0.871851469625586,0.951363516570789,0.910602590531173,0.821193996064114,0.94954055086951,0.951798895222617,0.952326629612835,0.81190448968679,0.773157690440357,0.856212575427025,0.79545398834569,0.819573606935092,0.891239286857427,0.858816191259376,0.965023687250391,0.957131281429731,0.845862377632,0.74190997022203,0.896090040266037,0.979007471638942,0.965844479506323,0.871222438344076,0.925848572881872,0.808469973698806,0.823848979923996,0.965647166632668,0.938661135276864,0.872697567412068,0.808486133534976,0.926821941918078,0.84261031977021,0.908384714595472,0.876028765378376,0.942148660316908,0.958646502979271,0.918730235798294,0.926867476428433,0.853398682569184,0.851406105624891,0.912477747141989,0.894439993472667,0.911235229817103,0.874987473028286,0.854891156879022,0.856770386263837,0.896916767925083
"cg00233633",0.0711311444062923,0.0836569937934289,0.100052161290815,0.127304496384556,0.0920956982274437,0.112335280277846,0.10834902321001,0.086778259746924,0.118214767122567,0.089936299624718,0.136510755096174,0.100046741291014,0.143100446283649,0.0854755386169306,0.151493788717495,0.105436605593514,0.0770548729380168,0.0999293224195054,0.113612402688343,0.169239117259659,0.0948298154583255,0.123466721639713,0.0964034586606085,0.0856735589636341,0.123532769264495,0.0709178465625363,0.182183243357563,0.11469929034199,0.117312643830233,0.128659261842111,0.0984112215257188,0.171284638425675,0.0758686867579015,0.15863426434365,0.0814609551516055,0.0766534759748328,0.0800782661944352,0.116537428437121,0.156416883433568,0.140344595511824,0.0961463410267696,0.0902649267911685,0.101919500212177,0.107464131666649,0.131928890706635,0.100338995296525,0.135735128691651,0.100954737833157,0.0940268058492865,0.151982374546977,0.0640183345232685,0.154762164958104,0.10143688916648,0.128938302118524,0.136515008627425,0.130760220811467,0.115511894076592,0.0779269235359085,0.125406898555698,0.103915332583918,0.152612000792301,0.0991861601205133,0.178376695010722,0.081250131267626,0.09145107837676,0.0993273084879972,0.145439642439308,0.0989253354298275,0.129783913669551,0.108686462379851,0.160611054764758,0.125485067559718,0.0712530699068095,0.104641440500392,0.0580090460609842,0.0901516424355109,0.0802881725617064,0.189437567333283,0.122762068959322,0.138911930561353,0.0878073156480133,0.102250579949371,0.0884685913028835,0.120003374514037,0.176385083832244,0.100151613688669,0.0992984104992109,0.086813499907418,0.11323472351502,0.0662493212777086,0.145736276308003,0.0806706548085951,0.131634489900959,0.188285143797752,0.102856955182659,0.175213680281283,0.093073950919638,0.129151971198265,0.100397373913897,0.105860430748839,0.0882968673139673,0.0844005974764393,0.0875826973315453,0.098087827679475,0.159580184175725,0.0886661438194389,0.117321893197295,0.0738693554113257,0.0901005479631839,0.180680919731119
"cg00293644",0.747983641833389,0.796040091539981,0.870934603084833,0.682676836808818,0.842741289933296,0.829750536235138,0.824618368135278,0.782800235272015,0.763714379856976,0.714677486228843,0.894208380993366,0.652775655020135,0.684927615138622,0.714734996454924,0.876138755392823,0.781337206156531,0.632737390646222,0.625541268961712,0.564629778487154,0.946259817181867,0.641679250346221,0.755043669799715,0.759246294867112,0.751442223782717,0.745205944446578,0.735156722810103,0.722308996403694,0.821815742876635,0.699216289100729,0.941742605402645,0.760545852322485,0.678916952313398,0.735971093519535,0.850138479499751,0.760461962810255,0.597100626114878,0.748696768960927,0.678685590891379,0.764973749948191,0.710945805923288,0.568329186046262,0.830742612520054,0.791919508687861,0.62094701288071,0.834156060652415,0.747350575980001,0.671889022722757,0.727426059424233,0.779592623494781,0.789497172308193,0.649574447136299,0.754948175794964,0.665971253030299,0.815347781744337,0.775591327509075,0.888823657739398,0.844272322161693,0.544879710969033,0.733691665371709,0.800568987192402,0.900341772098111,0.886951891875966,0.899017452492964,0.621597565916643,0.785521224447778,0.807409458042688,0.875466482627542,0.83658213379071,0.612101418743713,0.84281485608688,0.8260761122899,0.801802441191457,0.824503799219889,0.84555715704276,0.781020662748208,0.870863459847272,0.75350508086723,0.890777215117724,0.779643117551958,0.946271379900591,0.796417499667977,0.859773131607167,0.849350404252617,0.887685766914035,0.909362622225103,0.772989276265904,0.832847293795587,0.670898382568811,0.775510953519263,0.536304481672674,0.833004212625316,0.650799586091475,0.71626388594483,0.863365114387016,0.897269375194529,0.909717634196025,0.782413983701701,0.850996183584286,0.707982060299676,0.603391473636807,0.653008639405077,0.717491673774465,0.676496722889419,0.656250658592649,0.866154780038961,0.657182613767863,0.669656247082548,0.680968023929118,0.591216733666413,0.644165255335884
"cg00294149",0.962964186259318,0.964146346394395,0.971812260729916,0.951410016327658,0.974732761939141,0.97713658759593,0.966865699821261,0.929755442200431,0.968076552004497,0.970052231577745,0.979102724771224,0.949948845038259,0.957001438364798,0.959079781436863,0.974477478924292,0.942188335335683,0.939901129920051,0.918446041267017,0.915497474885581,0.972438469330554,0.952910383646926,0.968106247650017,0.964299787771069,0.948652707682557,0.964590859076281,0.957313833350161,0.977232598681021,0.971052855207372,0.967414830256175,0.976977302716966,0.973085327315508,0.971044549414509,0.963062271580018,0.974488367630652,0.97071835354281,0.934202704051438,0.955810101808224,0.958487173970293,0.970909862012449,0.948010402112647,0.965508504928363,0.97224976394947,0.975088755409687,0.944171860802791,0.97409423757686,0.957545824424718,0.967573201373953,0.963111057874636,0.975412007708395,0.96974593601876,0.891762299229575,0.961675592798692,0.964900589969443,0.968068589405468,0.975953636058663,0.970105486765061,0.957894052947355,0.937099716145123,0.962413669019122,0.963507950910973,0.96996018859518,0.959827745297116,0.974699622423424,0.958474147226638,0.954338673370774,0.957566971335163,0.974174771810579,0.967413582883991,0.955601458679011,0.980615281831325,0.980060870408911,0.972802446766651,0.960236623076712,0.957313059888022,0.968179278010872,0.967626129490777,0.954446752550313,0.979977170776384,0.954859484556631,0.976779582123421,0.947056690515053,0.970862359792485,0.959658201453572,0.964691517025708,0.963997796544292,0.966914098661836,0.968472315125371,0.969579400617953,0.971641975125683,0.948697576052785,0.963273055308097,0.966783917594474,0.962299095291334,0.975189256316999,0.94547872336801,0.977967247723718,0.973387272805866,0.973981469981422,0.965120335165562,0.942941795999637,0.935986840268734,0.962972131996301,0.963880551207778,0.954998800398183,0.97673634000718,0.952516848223677,0.947524940548124,0.955158516015384,0.931401102580059,0.970406703322288
