"","(Intercept)","pretermBirthYes","gestationalAge","babyGender male","birthweightSdscore","parity primipara","delivery Vaginal","maternalAge","maternalBmi","maternalSmokingBeforePregnancy Yes","paternalAge","paternalBmi","paternalSmokingBeforePregnancy Yes","gestationalDiabetesMellitus Yes","chorioamnionitis Yes","idiopathicPromWithoutInflammation Yes","preeclampsia Yes","placentaPrevia Yes","estimatedBcell","estimatedCd4t","estimatedCd8t","estimatedGran","estimatedMono","estimatedNk","estimatedNrbc"
"cg00010672",0.950381578256839,0.0127728049918629,0.0213885849123546,0.780752152375397,0.150254740610031,0.137823755229471,0.0424415776711172,0.732961304160849,0.288502678960034,0.878566822168283,0.119068500909285,0.926915809988924,0.999137451557964,NA,0.660687815724508,0.220696129481226,0.423464280570372,0.411080335757231,0.127189691760978,0.816164960979332,0.850348344769362,0.142434301652884,0.0355114632444581,0.239173152767191,0.0273288964583562
"cg00017826",0.613216564830214,0.034069182357565,0.882049125396841,0.127161317237226,0.245315075265878,0.981766874986314,0.7807602524298,0.634870735255594,0.0578072882608874,0.772827113141169,0.273314450769341,0.231180413840414,0.514624332739327,NA,0.305322215889671,0.0654597086287494,0.137447651376066,0.00649338918646177,0.00596826269666086,0.147853135530394,0.0399373392512516,0.00384584541916341,0.00202008990827966,0.00705695490119942,0.00255518899934366
"cg00026346",3.9215126162606e-09,0.150271221864739,0.819751017346307,0.95960828986617,0.276029173312504,0.859701645191962,0.783005884276354,0.91650843004007,0.718331864321984,0.52687922636584,0.739745032312512,0.410373480519232,0.397421266887265,NA,0.183694097708304,0.797609876374319,0.118722026740263,0.785606160580079,0.0192032441039041,0.0186612361293212,0.00931388668168758,0.0146135292972549,0.00739599090894935,0.0304424778846701,0.0106965425142127
"cg00034336",0.594993575985328,0.999246234892247,0.981703236608239,0.211679712047881,0.188729455252634,0.948653051559663,0.375701147426982,0.926899285813497,0.667162539969733,0.27898852563768,0.634387963473206,0.917388893491331,0.979480634053755,NA,0.0485469290099115,0.373841197578026,0.0407717382033421,0.35040040719446,0.986462203252574,0.208935020966144,0.434484006432117,0.799898288236387,0.885467265948698,0.883637682408424,0.989073743510339
"cg00092400",0.00112555040358009,0.446574812210375,0.0315207467005812,0.610043649041875,0.224320169452322,0.562027596122198,0.254974419101363,0.868891656894635,0.765000726713536,0.186628962659372,0.200719697192962,0.0645552710375907,0.477951393649639,NA,0.277070385451891,0.905466240535241,0.388556838368275,0.0649844519983644,0.0368206740631019,0.00466037494144094,0.00266773559976872,0.00456742230663427,0.00315582383186318,0.0125467739577546,0.498432341266022
"cg00168694",0.570089942043346,0.354723742288225,0.0601500557283384,0.380308182791779,0.454925606057928,0.726596935831573,0.339247220157527,0.679379169049516,0.949440956807337,0.156615202027395,0.723125072698401,0.873001179032377,0.329054026543131,NA,0.687092977922279,0.70736952299375,0.984927280887773,0.574264619250245,0.0188093857040324,0.022009183923056,0.0194679615704273,0.86417827241464,0.70877138530054,0.0578987412768016,0.0274418619913854
"cg00219921",0.692114982012655,0.483299683395964,0.707119264162327,0.413616653511593,0.0372372382405493,0.833183901193376,0.437381694730764,0.428933245155944,0.638854787372401,0.392478890910852,0.50721042335816,0.811772284247921,0.206773048215919,NA,0.5146811886929,0.461973045632678,0.568777103110364,0.787950712753273,0.0389539150826609,0.132535792604677,0.228757691950667,0.0467307557333269,0.0457410831355824,0.0130724683958748,0.0285720164644799
"cg00233633",8.69499842891977e-05,0.213889014241894,0.0286085461236552,0.510250211041652,0.842048934607992,0.997161243861859,0.621711506845737,0.882946174443973,0.698293330714762,0.452021441755582,0.23176417320824,0.970029719153638,0.955089658488773,NA,0.589587407124756,0.428839797651675,0.587425010288289,0.786226275142608,0.0020218435359301,0.000465795313691052,0.00183182709907983,0.00186330398700697,0.000325818004401374,0.00431015620342225,0.0165095427193276
"cg00293644",0.0605263504453801,0.717176635678545,0.22322366105309,0.0276133410305086,0.755489647818829,0.627660030370806,0.786951863731008,0.177242166919386,0.0717347796180862,0.81923499840235,0.893483062097669,0.476627240345541,0.972402758050764,NA,0.853954302392964,0.837858838310112,0.109874607021752,0.138288957401792,0.156648908784967,0.872439834844288,0.806901909312201,0.724385420256982,0.164060858127072,0.8653473882238,0.658658822849314
"cg00294149",4.3784445376015e-07,0.538449623689844,0.501782645663357,0.350317991387485,0.911632517957541,0.573306870131473,0.894653871126475,0.823764924012041,0.467904814741948,0.83809858886984,0.980005323808782,0.0920033629422183,0.332639199213046,NA,0.878185652192611,0.989006791910616,0.772234378201831,0.653044747172849,0.229511979377589,0.193889860837645,0.189729694148918,0.181096571515564,0.547681122024821,0.143447431803646,0.113114911578088
